idcrs,model_name,name,context,def,number_of_dependencies,dependencies
12,VOD3,CR12,<InstanceType-Generalization{621}>,"self.source->forAll(e1: <root/types/UMLLoader3/Element> | e1.isKindOf(<root/types/UMLLoader3/NamedElement>) implies self.target->forAll(e2 : <root/types/UMLLoader3/Element> | e2.isKindOf(<root/types/UMLLoader3/NamedElement>) and e1.asType(<root/types/UMLLoader3/NamedElement>).namespace = e2.asType(<root/types/UMLLoader3/NamedElement> ).namespace))",0,"CR12 has no dependencies"
13,VOD3,CR13,<InstanceType-Transition{483}>,"let classifier : <root/types/UMLLoader3/BehavioredClassifier> = self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine.context in (self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine <> null implies classifier.isTypeOf(<root/types/UMLLoader3/Class>) implies classifier.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(o:<root/types/UMLLoader3/Operation> | o.name = self.name))",7,"CR01 (horizontal), && CR19 (horizontal), && CR26 (horizontal), && CR18 (horizontal), && CR16 (horizontal), && CR09 (horizontal), && CR20 (horizontal), &&"
14,VOD3,CR14,<InstanceType-Operation{380}>,"self.ownedParameter->select(p : <root/types/UMLLoader3/Parameter> | p.direction.name = 'return')->size() <= 1",3,"CR11 (horizontal), && CR09 (horizontal), && CR10 (horizontal), &&"
15,VOD3,CR15,<InstanceType-Lifeline{844}>,self.represents.type.isTypeOf(<root/types/UMLLoader3/Class>),3,"CR01 (horizontal), && CR27 (horizontal), && CR16 (horizontal), &&"
16,VOD3,CR16,<InstanceType-Message{847}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedBehavior->exists(ob| ob.asType(<root/types/UMLLoader3/StateMachine>).region->exists(re|re.asType(<root/types/UMLLoader3/Region>).transition->exists(t|t.name=self.name))))",8,"CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR27 (horizontal), && CR15 (horizontal), && CR18 (horizontal), && CR17 (horizontal), && CR20 (horizontal), &&"
17,VOD3,CR17,<InstanceType-Lifeline{844}>,"self.coveredBy->asList().size() > 0 implies self.coveredBy->asList()->first().asType(<root/types/UMLLoader3/InteractionFragment>).covered->isEmpty()",2,"CR01 (horizontal), && CR16 (horizontal), &&"
18,VOD3,CR18,<InstanceType-Operation{380}>,"allInstances(<root/types/UMLLoader3/Action>)->exists(a1: <root/types/UMLLoader3/Action>|  allInstances(<root/types/UMLLoader3/Message>)->exists(m1: <root/types/UMLLoader3/Message>| (a1.name = self.name) and (m1.name = self.name) implies a1.name = m1.name))",6,"CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR16 (horizontal), && CR09 (horizontal), && CR20 (horizontal), &&"
19,VOD3,CR19,<InstanceType-Message{847}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| self.name = op.name implies not op.isAbstract)",7,"CR13 (horizontal), && CR01 (horizontal), && CR26 (horizontal), && CR18 (horizontal), && CR16 (horizontal), && CR09 (horizontal), && CR20 (horizontal), &&"
20,VOD3,CR20,<InstanceType-Message{847}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| op.name = self.name implies ((self.visibility.name = 'public') and (op.visibility.name = 'public')) or ((self.visibility.name = 'private') and (op.visibility.name = 'private')) or ((self.visibility.name = 'protected') and (op.visibility.name = 'protected')))",7,"CR13 (horizontal), && CR01 (horizontal), && CR08 (horizontal), && CR19 (horizontal), && CR18 (horizontal), && CR16 (horizontal), && CR09 (horizontal), &&"
21,VOD3,CR21,<InstanceType-Class{379}>,"allInstances(<root/types/UMLLoader3/Activity>)->exists(at:<root/types/UMLLoader3/Activity>|self.name = at.name)",2,"CR22 (horizontal), && CR23 (horizontal), &&"
22,VOD3,CR22,<InstanceType-UseCase{636}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR21 (horizontal), && CR23 (horizontal), && CR24 (horizontal), &&"
23,VOD3,CR23,<InstanceType-InteractionFragment{843}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR21 (horizontal), && CR22 (horizontal), && CR24 (horizontal), &&"
24,VOD3,CR24,<InstanceType-InteractionFragment{843}>,"allInstances(<root/types/UMLLoader3/UseCase>)->exists(ut:<root/types/UMLLoader3/UseCase>| ut.name = self.name)",2,"CR22 (horizontal), && CR23 (horizontal), &&"
25,VOD3,CR25,<InstanceType-CreateLinkObjectAction{1059}>,"allInstances(<root/types/UMLLoader3/Association>)->forAll(at:<root/types/UMLLoader3/Association>|  at.name = self.name implies self.result = at)",0,"CR25 has no dependencies"
26,VOD3,CR26,<InstanceType-Class{379}>,"self.isAbstract = true implies  self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.isAbstract)",5,"CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR27 (horizontal), && CR09 (horizontal), &&"
27,VOD3,CR27,<InstanceType-Lifeline{844}>,"allInstances(<root/types/UMLLoader3/Interface>)->forAll(it:<root/types/UMLLoader3/Interface>| self <> it implies allInstances(<root/types/UMLLoader3/Class>)->select(ct:<root/types/UMLLoader3/Class>| ct.isAbstract)->forAll(ab:<root/types/UMLLoader3/Class>| ab <> self.represents.type))",4,"CR01 (horizontal), && CR15 (horizontal), && CR26 (horizontal), && CR16 (horizontal), &&"
28,ArchGame,CR01,<InstanceType-Message{810}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(op| op.name=self.name))",10,"CR18 (horizontal), && CR16 (horizontal), && CR26 (horizontal), && CR09 (horizontal), && CR17 (horizontal), && CR27 (horizontal), && CR13 (horizontal), && CR19 (horizontal), && CR15 (horizontal), && CR20 (horizontal), &&"
29,ArchGame,CR02,<InstanceType-Association{523}>,"self.memberEnd.size() > 0 implies self.memberEnd->forAll(p | p.type <> null implies p.type.namespace = self.namespace)",3,"CR04 (horizontal), && CR11 (horizontal), && CR03 (horizontal), &&"
30,ArchGame,CR03,<InstanceType-Association{523}>,"self.memberEnd->forAll(p1,p2 : <root/types/UMLLoader3/Property>| p1 <> p2 implies p1.name <> p2.name)",3,"CR04 (horizontal), && CR05 (horizontal), && CR02 (horizontal), &&"
31,ArchGame,CR04,<InstanceType-Association{523}>,"self.memberEnd->size() > 0 implies self.memberEnd->select(p | p.aggregation.name = 'composite')->size() <= 1 or self.memberEnd->select(m | m.aggregation.name = 'shared')->size() <= 1",3,"CR06 (horizontal), && CR03 (horizontal), && CR02 (horizontal), &&"
32,ArchGame,CR05,<InstanceType-Class{379}>,"self.ownedAttribute->forAll(p1,p2:<root/types/UMLLoader3/Property> | p1 <> p2 implies p1.name <> p2.name)",1,"CR03 (horizontal), &&"
33,ArchGame,CR06,<InstanceType-Property{359}>,"(self.association <> null and self.aggregation.name='composite') implies (self.upper >= 0 and self.upper <= 1)",2,"CR04 (horizontal), && CR08 (horizontal), &&"
34,ArchGame,CR07,<InstanceType-Package{327}>,"self.packagedElement->forAll(e1,e2:<root/types/UMLLoader3/PackageableElement> | (e1 <> e2) and (e1.name <> '' and e2.name <> '') implies (e1.name <> e2.name))",0,"CR07 has no dependencies"
35,ArchGame,CR08,<InstanceType-Interface{386}>,"self.ownedAttribute->forAll(pr: <root/types/UMLLoader3/Property>| pr.association <> null or pr.visibility.name = 'public') and self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.visibility.name = 'public')",2,"CR06 (horizontal), && CR20 (horizontal), &&"
36,ArchGame,CR09,<InstanceType-Class{379}>,"self.ownedOperation->forAll( o1,o2 : <root/types/UMLLoader3/Operation> | o1 <> o2 implies (o1.name <> o2.name or o1.ownedParameter->size() <> o2.ownedParameter->size() or o1.ownedParameter->exists(t1:<root/types/UMLLoader3/Type> | o2.ownedParameter->excludes(t1)) or o2.ownedParameter->exists(t2:<root/types/UMLLoader3/Type> | o1.ownedParameter->excludes(t2))))",9,"CR18 (horizontal), && CR14 (horizontal), && CR26 (horizontal), && CR10 (horizontal), && CR13 (horizontal), && CR11 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR20 (horizontal), &&"
37,ArchGame,CR10,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p1,p2:<root/types/UMLLoader3/Parameter>| p1 <> p2 implies p1.name <> p2.name)",3,"CR14 (horizontal), && CR09 (horizontal), && CR11 (horizontal), &&"
38,ArchGame,CR11,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p:<root/types/UMLLoader3/Parameter>|(p.type <> null and self.owner.isTypeOf(<root/types/UMLLoader3/Class>)) implies p.type.namespace = self.owner.asType(<root/types/UMLLoader3/Class>).namespace)",4,"CR14 (horizontal), && CR09 (horizontal), && CR10 (horizontal), && CR02 (horizontal), &&"
39,ArchGame,CR12,<InstanceType-Generalization{621}>,"self.source->forAll(e1: <root/types/UMLLoader3/Element> | e1.isKindOf(<root/types/UMLLoader3/NamedElement>) implies self.target->forAll(e2 : <root/types/UMLLoader3/Element> | e2.isKindOf(<root/types/UMLLoader3/NamedElement>) and e1.asType(<root/types/UMLLoader3/NamedElement>).namespace = e2.asType(<root/types/UMLLoader3/NamedElement> ).namespace))",0,"CR12 has no dependencies"
40,ArchGame,CR13,<InstanceType-Transition{483}>,"let classifier : <root/types/UMLLoader3/BehavioredClassifier> = self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine.context in (self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine <> null implies classifier.isTypeOf(<root/types/UMLLoader3/Class>) implies classifier.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(o:<root/types/UMLLoader3/Operation> | o.name = self.name))",7,"CR18 (horizontal), && CR16 (horizontal), && CR26 (horizontal), && CR09 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR20 (horizontal), &&"
41,ArchGame,CR14,<InstanceType-Operation{380}>,"self.ownedParameter->select(p : <root/types/UMLLoader3/Parameter> | p.direction.name = 'return')->size() <= 1",3,"CR09 (horizontal), && CR10 (horizontal), && CR11 (horizontal), &&"
42,ArchGame,CR15,<InstanceType-Lifeline{807}>,self.represents.type.isTypeOf(<root/types/UMLLoader3/Class>),3,"CR16 (horizontal), && CR27 (horizontal), && CR01 (horizontal), &&"
43,ArchGame,CR16,<InstanceType-Message{810}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedBehavior->exists(ob| ob.asType(<root/types/UMLLoader3/StateMachine>).region->exists(re|re.asType(<root/types/UMLLoader3/Region>).transition->exists(t|t.name=self.name))))",8,"CR18 (horizontal), && CR17 (horizontal), && CR27 (horizontal), && CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR15 (horizontal), && CR20 (horizontal), &&"
44,ArchGame,CR17,<InstanceType-Lifeline{807}>,"self.coveredBy->asList().size() > 0 implies self.coveredBy->asList()->first().asType(<root/types/UMLLoader3/InteractionFragment>).covered->isEmpty()",2,"CR16 (horizontal), && CR01 (horizontal), &&"
45,ArchGame,CR18,<InstanceType-Operation{380}>,"allInstances(<root/types/UMLLoader3/Action>)->exists(a1: <root/types/UMLLoader3/Action>|  allInstances(<root/types/UMLLoader3/Message>)->exists(m1: <root/types/UMLLoader3/Message>| (a1.name = self.name) and (m1.name = self.name) implies a1.name = m1.name))",6,"CR16 (horizontal), && CR09 (horizontal), && CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), && CR20 (horizontal), &&"
46,ArchGame,CR19,<InstanceType-Message{810}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| self.name = op.name implies not op.isAbstract)",7,"CR18 (horizontal), && CR16 (horizontal), && CR26 (horizontal), && CR09 (horizontal), && CR13 (horizontal), && CR01 (horizontal), && CR20 (horizontal), &&"
47,ArchGame,CR20,<InstanceType-Message{810}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| op.name = self.name implies ((self.visibility.name = 'public') and (op.visibility.name = 'public')) or ((self.visibility.name = 'private') and (op.visibility.name = 'private')) or ((self.visibility.name = 'protected') and (op.visibility.name = 'protected')))",7,"CR18 (horizontal), && CR08 (horizontal), && CR16 (horizontal), && CR09 (horizontal), && CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), &&"
48,ArchGame,CR21,<InstanceType-Class{379}>,"allInstances(<root/types/UMLLoader3/Activity>)->exists(at:<root/types/UMLLoader3/Activity>|self.name = at.name)",2,"CR22 (horizontal), && CR23 (horizontal), &&"
49,ArchGame,CR22,<InstanceType-UseCase{636}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR23 (horizontal), && CR24 (horizontal), && CR21 (horizontal), &&"
50,ArchGame,CR23,<InstanceType-InteractionFragment{806}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR22 (horizontal), && CR24 (horizontal), && CR21 (horizontal), &&"
51,ArchGame,CR24,<InstanceType-InteractionFragment{806}>,"allInstances(<root/types/UMLLoader3/UseCase>)->exists(ut:<root/types/UMLLoader3/UseCase>| ut.name = self.name)",2,"CR22 (horizontal), && CR23 (horizontal), &&"
52,ArchGame,CR25,<InstanceType-CreateLinkObjectAction{1157}>,"allInstances(<root/types/UMLLoader3/Association>)->forAll(at:<root/types/UMLLoader3/Association>|  at.name = self.name implies self.result = at)",0,"CR25 has no dependencies"
53,ArchGame,CR26,<InstanceType-Class{379}>,"self.isAbstract = true implies  self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.isAbstract)",5,"CR09 (horizontal), && CR27 (horizontal), && CR13 (horizontal), && CR01 (horizontal), && CR19 (horizontal), &&"
54,ArchGame,CR27,<InstanceType-Lifeline{807}>,"allInstances(<root/types/UMLLoader3/Interface>)->forAll(it:<root/types/UMLLoader3/Interface>| self <> it implies allInstances(<root/types/UMLLoader3/Class>)->select(ct:<root/types/UMLLoader3/Class>| ct.isAbstract)->forAll(ab:<root/types/UMLLoader3/Class>| ab <> self.represents.type))",4,"CR16 (horizontal), && CR26 (horizontal), && CR01 (horizontal), && CR15 (horizontal), &&"
55,iTalks,CR01,<InstanceType-Message{824}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(op| op.name=self.name))",10,"CR19 (horizontal), && CR20 (horizontal), && CR13 (horizontal), && CR27 (horizontal), && CR09 (horizontal), && CR26 (horizontal), && CR17 (horizontal), && CR18 (horizontal), && CR16 (horizontal), && CR15 (horizontal), &&"
56,iTalks,CR02,<InstanceType-Association{523}>,"self.memberEnd.size() > 0 implies self.memberEnd->forAll(p | p.type <> null implies p.type.namespace = self.namespace)",3,"CR03 (horizontal), && CR04 (horizontal), && CR11 (horizontal), &&"
57,iTalks,CR03,<InstanceType-Association{523}>,"self.memberEnd->forAll(p1,p2 : <root/types/UMLLoader3/Property>| p1 <> p2 implies p1.name <> p2.name)",3,"CR02 (horizontal), && CR04 (horizontal), && CR05 (horizontal), &&"
58,iTalks,CR04,<InstanceType-Association{523}>,"self.memberEnd->size() > 0 implies self.memberEnd->select(p | p.aggregation.name = 'composite')->size() <= 1 or self.memberEnd->select(m | m.aggregation.name = 'shared')->size() <= 1",3,"CR06 (horizontal), && CR03 (horizontal), && CR02 (horizontal), &&"
59,iTalks,CR05,<InstanceType-Class{379}>,"self.ownedAttribute->forAll(p1,p2:<root/types/UMLLoader3/Property> | p1 <> p2 implies p1.name <> p2.name)",1,"CR03 (horizontal), &&"
60,iTalks,CR06,<InstanceType-Property{359}>,"(self.association <> null and self.aggregation.name='composite') implies (self.upper >= 0 and self.upper <= 1)",2,"CR08 (horizontal), && CR04 (horizontal), &&"
61,iTalks,CR07,<InstanceType-Package{327}>,"self.packagedElement->forAll(e1,e2:<root/types/UMLLoader3/PackageableElement> | (e1 <> e2) and (e1.name <> '' and e2.name <> '') implies (e1.name <> e2.name))",0,"CR07 has no dependencies"
62,iTalks,CR08,<InstanceType-Interface{386}>,"self.ownedAttribute->forAll(pr: <root/types/UMLLoader3/Property>| pr.association <> null or pr.visibility.name = 'public') and self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.visibility.name = 'public')",2,"CR20 (horizontal), && CR06 (horizontal), &&"
63,iTalks,CR09,<InstanceType-Class{379}>,"self.ownedOperation->forAll( o1,o2 : <root/types/UMLLoader3/Operation> | o1 <> o2 implies (o1.name <> o2.name or o1.ownedParameter->size() <> o2.ownedParameter->size() or o1.ownedParameter->exists(t1:<root/types/UMLLoader3/Type> | o2.ownedParameter->excludes(t1)) or o2.ownedParameter->exists(t2:<root/types/UMLLoader3/Type> | o1.ownedParameter->excludes(t2))))",9,"CR19 (horizontal), && CR20 (horizontal), && CR13 (horizontal), && CR14 (horizontal), && CR01 (horizontal), && CR10 (horizontal), && CR26 (horizontal), && CR18 (horizontal), && CR11 (horizontal), &&"
64,iTalks,CR10,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p1,p2:<root/types/UMLLoader3/Parameter>| p1 <> p2 implies p1.name <> p2.name)",3,"CR14 (horizontal), && CR09 (horizontal), && CR11 (horizontal), &&"
65,iTalks,CR11,<InstanceType-Operation{380}>,"self.ownedParameter->forAll(p:<root/types/UMLLoader3/Parameter>|(p.type <> null and self.owner.isTypeOf(<root/types/UMLLoader3/Class>)) implies p.type.namespace = self.owner.asType(<root/types/UMLLoader3/Class>).namespace)",4,"CR14 (horizontal), && CR02 (horizontal), && CR09 (horizontal), && CR10 (horizontal), &&"
66,iTalks,CR12,<InstanceType-Generalization{621}>,"self.source->forAll(e1: <root/types/UMLLoader3/Element> | e1.isKindOf(<root/types/UMLLoader3/NamedElement>) implies self.target->forAll(e2 : <root/types/UMLLoader3/Element> | e2.isKindOf(<root/types/UMLLoader3/NamedElement>) and e1.asType(<root/types/UMLLoader3/NamedElement>).namespace = e2.asType(<root/types/UMLLoader3/NamedElement> ).namespace))",0,"CR12 has no dependencies"
67,iTalks,CR13,<InstanceType-Transition{483}>,"let classifier : <root/types/UMLLoader3/BehavioredClassifier> = self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine.context in (self.owner.asType(<root/types/UMLLoader3/Region>).stateMachine <> null implies classifier.isTypeOf(<root/types/UMLLoader3/Class>) implies classifier.asType(<root/types/UMLLoader3/Class>).ownedOperation->exists(o:<root/types/UMLLoader3/Operation> | o.name = self.name))",7,"CR19 (horizontal), && CR20 (horizontal), && CR09 (horizontal), && CR01 (horizontal), && CR26 (horizontal), && CR18 (horizontal), && CR16 (horizontal), &&"
68,iTalks,CR14,<InstanceType-Operation{380}>,"self.ownedParameter->select(p : <root/types/UMLLoader3/Parameter> | p.direction.name = 'return')->size() <= 1",3,"CR09 (horizontal), && CR10 (horizontal), && CR11 (horizontal), &&"
69,iTalks,CR15,<InstanceType-Lifeline{821}>,self.represents.type.isTypeOf(<root/types/UMLLoader3/Class>),3,"CR27 (horizontal), && CR01 (horizontal), && CR16 (horizontal), &&"
70,iTalks,CR16,<InstanceType-Message{824}>,"self.receiveEvent.asType(<root/types/UMLLoader3/InteractionFragment>).covered->forAll(r|r.represents.type.isTypeOf(<root/types/UMLLoader3/Class>) implies r.represents.type.asType(<root/types/UMLLoader3/Class>).ownedBehavior->exists(ob| ob.asType(<root/types/UMLLoader3/StateMachine>).region->exists(re|re.asType(<root/types/UMLLoader3/Region>).transition->exists(t|t.name=self.name))))",8,"CR19 (horizontal), && CR20 (horizontal), && CR13 (horizontal), && CR27 (horizontal), && CR01 (horizontal), && CR17 (horizontal), && CR18 (horizontal), && CR15 (horizontal), &&"
71,iTalks,CR17,<InstanceType-Lifeline{821}>,"self.coveredBy->asList().size() > 0 implies self.coveredBy->asList()->first().asType(<root/types/UMLLoader3/InteractionFragment>).covered->isEmpty()",2,"CR01 (horizontal), && CR16 (horizontal), &&"
72,iTalks,CR18,<InstanceType-Operation{380}>,"allInstances(<root/types/UMLLoader3/Action>)->exists(a1: <root/types/UMLLoader3/Action>|  allInstances(<root/types/UMLLoader3/Message>)->exists(m1: <root/types/UMLLoader3/Message>| (a1.name = self.name) and (m1.name = self.name) implies a1.name = m1.name))",6,"CR19 (horizontal), && CR20 (horizontal), && CR13 (horizontal), && CR09 (horizontal), && CR01 (horizontal), && CR16 (horizontal), &&"
73,iTalks,CR19,<InstanceType-Message{824}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| self.name = op.name implies not op.isAbstract)",7,"CR20 (horizontal), && CR13 (horizontal), && CR09 (horizontal), && CR01 (horizontal), && CR26 (horizontal), && CR18 (horizontal), && CR16 (horizontal), &&"
74,iTalks,CR20,<InstanceType-Message{824}>,"allInstances(<root/types/UMLLoader3/Operation>)->forAll(op:<root/types/UMLLoader3/Operation>| op.name = self.name implies ((self.visibility.name = 'public') and (op.visibility.name = 'public')) or ((self.visibility.name = 'private') and (op.visibility.name = 'private')) or ((self.visibility.name = 'protected') and (op.visibility.name = 'protected')))",7,"CR19 (horizontal), && CR13 (horizontal), && CR08 (horizontal), && CR09 (horizontal), && CR01 (horizontal), && CR18 (horizontal), && CR16 (horizontal), &&"
75,iTalks,CR21,<InstanceType-Class{379}>,"allInstances(<root/types/UMLLoader3/Activity>)->exists(at:<root/types/UMLLoader3/Activity>|self.name = at.name)",2,"CR23 (horizontal), && CR22 (horizontal), &&"
76,iTalks,CR22,<InstanceType-UseCase{636}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR23 (horizontal), && CR21 (horizontal), && CR24 (horizontal), &&"
77,iTalks,CR23,<InstanceType-InteractionFragment{820}>,"allInstances(<root/types/UMLLoader3/Class>)->exists(ct:<root/types/UMLLoader3/Class>| ct.name = self.name)",3,"CR22 (horizontal), && CR21 (horizontal), && CR24 (horizontal), &&"
78,iTalks,CR24,<InstanceType-InteractionFragment{820}>,"allInstances(<root/types/UMLLoader3/UseCase>)->exists(ut:<root/types/UMLLoader3/UseCase>| ut.name = self.name)",2,"CR23 (horizontal), && CR22 (horizontal), &&"
79,iTalks,CR25,<InstanceType-CreateLinkObjectAction{1055}>,"allInstances(<root/types/UMLLoader3/Association>)->forAll(at:<root/types/UMLLoader3/Association>|  at.name = self.name implies self.result = at)",0,"CR25 has no dependencies"
80,iTalks,CR26,<InstanceType-Class{379}>,"self.isAbstract = true implies  self.ownedOperation->forAll(o:<root/types/UMLLoader3/Operation>| o.isAbstract)",5,"CR19 (horizontal), && CR13 (horizontal), && CR27 (horizontal), && CR09 (horizontal), && CR01 (horizontal), &&"
81,iTalks,CR27,<InstanceType-Lifeline{821}>,"allInstances(<root/types/UMLLoader3/Interface>)->forAll(it:<root/types/UMLLoader3/Interface>| self <> it implies allInstances(<root/types/UMLLoader3/Class>)->select(ct:<root/types/UMLLoader3/Class>| ct.isAbstract)->forAll(ab:<root/types/UMLLoader3/Class>| ab <> self.represents.type))",4,"CR01 (horizontal), && CR26 (horizontal), && CR16 (horizontal), && CR15 (horizontal), &&"
