time,system_name,crd
19,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
6,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
11,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
13,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
7,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
15,ApoBot,"CR7 (Data Class) - A class contains only crude methods"
426,ApoCommando,"CR1 (Large Class) - A class has many fields"
10,ApoCommando,"CR1 (Large Class) - A class has many fields"
1557,ApoCommando,"CR1 (Large Class) - A class has many fields"
8,ApoCommando,"CR1 (Large Class) - A class has many fields"
41,ApoCommando,"CR2 (Large Class) - A class has many methods"
7,ApoCommando,"CR2 (Large Class) - A class has many methods"
9,ApoCommando,"CR2 (Large Class) - A class has many methods"
8,ApoCommando,"CR2 (Large Class) - A class has many methods"
10,ApoCommando,"CR2 (Large Class) - A class has many methods"
28,ApoCommando,"CR2 (Large Class) - A class has many methods"
41,ApoCommando,"CR2 (Large Class) - A class has many methods"
7,ApoCommando,"CR2 (Large Class) - A class has many methods"
50,ApoCommando,"CR2 (Large Class) - A class has many methods"
42,ApoCommando,"CR2 (Large Class) - A class has many methods"
8,ApoCommando,"CR2 (Large Class) - A class has many methods"
7,ApoCommando,"CR2 (Large Class) - A class has many methods"
7,ApoCommando,"CR2 (Large Class) - A class has many methods"
7,ApoCommando,"CR2 (Large Class) - A class has many methods"
266,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
7,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
234,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
186,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
327,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
205,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
6,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
9,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
5,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
301,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
258,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
8,ApoCommando,"CR3 (Long Methods) - A method contains too many lines of code."
49,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
30,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
47,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
45,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
52,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
51,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
36,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
22,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
45,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
28,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
71,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
38,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
65,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
31,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
58,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
42,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
31,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
26,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
78,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
50,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
68,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
43,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
42,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
195,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
28,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
33,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
31,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
36,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
59,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
39,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
39,ApoCommando,"CR4 (Long Parameter List) - A method contains too many parameters."
22,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
9,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
7,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
12,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
5,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
7,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
10,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
8,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
7,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
13,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
11,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
7,ApoCommando,"CR7 (Data Class) - A class contains only crude methods"
8,ApoDefence,"CR1 (Large Class) - A class has many fields"
376,ApoDefence,"CR1 (Large Class) - A class has many fields"
4,ApoDefence,"CR1 (Large Class) - A class has many fields"
7,ApoDefence,"CR1 (Large Class) - A class has many fields"
2177,ApoDefence,"CR1 (Large Class) - A class has many fields"
540,ApoDefence,"CR1 (Large Class) - A class has many fields"
4,ApoDefence,"CR1 (Large Class) - A class has many fields"
5,ApoDefence,"CR2 (Large Class) - A class has many methods"
4,ApoDefence,"CR2 (Large Class) - A class has many methods"
12,ApoDefence,"CR2 (Large Class) - A class has many methods"
7,ApoDefence,"CR2 (Large Class) - A class has many methods"
5,ApoDefence,"CR2 (Large Class) - A class has many methods"
4,ApoDefence,"CR2 (Large Class) - A class has many methods"
36,ApoDefence,"CR2 (Large Class) - A class has many methods"
5,ApoDefence,"CR2 (Large Class) - A class has many methods"
6,ApoDefence,"CR2 (Large Class) - A class has many methods"
42,ApoDefence,"CR2 (Large Class) - A class has many methods"
6,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
289,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
222,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
7,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
7,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
8,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
259,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
20,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
4,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
6,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
4,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
4,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
168,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
6,ApoDefence,"CR3 (Long Methods) - A method contains too many lines of code."
62,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
69,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
25,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
49,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
22,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
52,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
67,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
25,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
50,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
27,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
25,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
22,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
57,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
38,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
30,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
19,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
38,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
52,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
45,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
56,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
69,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
31,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
51,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
31,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
24,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
19,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
27,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
19,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
30,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
54,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
23,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
36,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
25,ApoDefence,"CR4 (Long Parameter List) - A method contains too many parameters."
6,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
5,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
11,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
5,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
7,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
7,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
7,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
11,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
5,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
11,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
8,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
6,ApoDefence,"CR7 (Data Class) - A class contains only crude methods"
1176,ApoIcarus,"CR1 (Large Class) - A class has many fields"
5,ApoIcarus,"CR1 (Large Class) - A class has many fields"
7,ApoIcarus,"CR2 (Large Class) - A class has many methods"
8,ApoIcarus,"CR2 (Large Class) - A class has many methods"
6,ApoIcarus,"CR2 (Large Class) - A class has many methods"
29,ApoIcarus,"CR2 (Large Class) - A class has many methods"
72,ApoIcarus,"CR2 (Large Class) - A class has many methods"
31,ApoIcarus,"CR2 (Large Class) - A class has many methods"
22,ApoIcarus,"CR2 (Large Class) - A class has many methods"
248,ApoIcarus,"CR3 (Long Methods) - A method contains too many lines of code."
7,ApoIcarus,"CR3 (Long Methods) - A method contains too many lines of code."
416,ApoIcarus,"CR3 (Long Methods) - A method contains too many lines of code."
425,ApoIcarus,"CR3 (Long Methods) - A method contains too many lines of code."
78,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
30,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
216,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
38,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
53,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
63,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
65,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
42,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
38,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
42,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
36,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
55,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
38,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
52,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
71,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
73,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
85,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
39,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
56,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
42,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
28,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
61,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
39,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
57,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
58,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
43,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
45,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
66,ApoIcarus,"CR4 (Long Parameter List) - A method contains too many parameters."
13,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
10,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
13,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
17,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
8,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
6,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
9,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
5,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
16,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
10,ApoIcarus,"CR7 (Data Class) - A class contains only crude methods"
6,ApoMarc,"CR1 (Large Class) - A class has many fields"
32,ApoMarc,"CR2 (Large Class) - A class has many methods"
6,ApoMarc,"CR2 (Large Class) - A class has many methods"
8,ApoMarc,"CR2 (Large Class) - A class has many methods"
58,ApoMarc,"CR2 (Large Class) - A class has many methods"
34,ApoMarc,"CR2 (Large Class) - A class has many methods"
7,ApoMarc,"CR2 (Large Class) - A class has many methods"
6,ApoMarc,"CR2 (Large Class) - A class has many methods"
9,ApoMarc,"CR3 (Long Methods) - A method contains too many lines of code."
332,ApoMarc,"CR3 (Long Methods) - A method contains too many lines of code."
70,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
101,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
56,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
94,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
77,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
67,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
56,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
60,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
196,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
64,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
36,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
30,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
76,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
43,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
59,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
31,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
48,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
39,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
51,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
64,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
55,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
60,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
36,ApoMarc,"CR4 (Long Parameter List) - A method contains too many parameters."
10,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
7,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
6,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
6,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
7,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
5,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
6,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
6,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
5,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
17,ApoMarc,"CR7 (Data Class) - A class contains only crude methods"
7,ApoNotSoSimple,"CR1 (Large Class) - A class has many fields"
7,ApoNotSoSimple,"CR1 (Large Class) - A class has many fields"
3345,ApoNotSoSimple,"CR1 (Large Class) - A class has many fields"
6,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
28,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
6,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
27,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
7,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
41,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
24,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
30,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
7,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
6,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
9,ApoNotSoSimple,"CR2 (Large Class) - A class has many methods"
303,ApoNotSoSimple,"CR3 (Long Methods) - A method contains too many lines of code."
4,ApoNotSoSimple,"CR3 (Long Methods) - A method contains too many lines of code."
6,ApoNotSoSimple,"CR3 (Long Methods) - A method contains too many lines of code."
35,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
39,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
49,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
96,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
26,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
68,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
42,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
41,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
44,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
26,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
32,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
43,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
34,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
52,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
29,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
98,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
40,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
49,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
33,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
35,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
33,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
45,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
65,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
45,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
33,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
43,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
37,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
26,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
52,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
63,ApoNotSoSimple,"CR4 (Long Parameter List) - A method contains too many parameters."
7,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
5,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
6,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
5,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
16,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
11,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
8,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
7,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
9,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
140,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
6,ApoNotSoSimple,"CR7 (Data Class) - A class contains only crude methods"
1691,ApoPongBeat,"CR1 (Large Class) - A class has many fields"
9,ApoPongBeat,"CR1 (Large Class) - A class has many fields"
41,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
10,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
28,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
4,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
4,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
8,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
38,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
32,ApoPongBeat,"CR2 (Large Class) - A class has many methods"
7,ApoPongBeat,"CR3 (Long Methods) - A method contains too many lines of code."
