crd,cre,instance_type,count
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getCircleCuts<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoDisplayConfiguration<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawString<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewTextfield<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoLevelChooserButton<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,5
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoComponentBufferedStrategy<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,4
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoScreen<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioWall<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-rectangleContains<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,4
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoConstants<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#byte<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#float<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#char<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#double<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewTextfield<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoHelp<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,4
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-process<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,4
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoSplashScreen<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonWithImage<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawSpeech<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-rectangleContains<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButton<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,4
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-loadLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-setPixel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,4
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getFont<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,4
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoComponent<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,3
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoComponentBufferedStrategy<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoThread<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewTextfield<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,3
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoDisplayConfiguration<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoDefenceButton<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoHelp<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage5}<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage4}<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,3
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#void4}<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,3
"CR6 (Data Class) - A class contains only crude methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#boolean1}<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,3
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Class3}>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class3}>]]",<InstanceType-Class3}>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-save<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoRelaxOptionsButton<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoSimpleString<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-play<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawRect<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-fillRoundRect<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-BitsCheckBoxWidget<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-fillOval<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-BitsToggleButtonWidget<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-BitsButtonWidget<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-cropImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,3
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoThread<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,2
"CR2 (Large Class) - A class has many methods","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewThread<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]",<InstanceType-Class>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewThread<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getBackgroundImageWithRect<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeWall<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewTextfield<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-setValues<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoDefenceShootUltra<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoDefenceShoot<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR3 (Long Methods) - A method contains too many lines of code.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-load<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]",<InstanceType-Method>,2
"CR4 (Long Parameter List) - A method contains too many parameters.","ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage1}<InstanceType-Method8}>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method8}>]]",<InstanceType-Method8}>,2
