idcre,system_name,cre,crd,time,result,instance_type
687,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoThread<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",36,0,<InstanceType-Method>
698,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawString<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",40,0,<InstanceType-Method>
719,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-renderTile<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",46,0,<InstanceType-Method>
725,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",53,0,<InstanceType-Method>
732,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoComponentBufferedStrategy<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",34,0,<InstanceType-Method>
749,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonWithImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",49,0,<InstanceType-Method>
764,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",48,0,<InstanceType-Method>
784,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotEntity<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",43,0,<InstanceType-Method>
786,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButtonText<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",47,0,<InstanceType-Method>
809,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",62,0,<InstanceType-Method>
831,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",44,0,<InstanceType-Method>
833,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",85,0,<InstanceType-Method>
860,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getIBackground<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",49,0,<InstanceType-Method>
881,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getCircleCuts<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",49,0,<InstanceType-Method>
897,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",33,0,<InstanceType-Method>
901,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButton<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",69,0,<InstanceType-Method>
918,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",33,0,<InstanceType-Method>
944,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoButtonText<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",50,0,<InstanceType-Method>
1023,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-renderOvertile<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",55,0,<InstanceType-Method>
1042,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",60,0,<InstanceType-Method>
1074,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",48,0,<InstanceType-Method>
1111,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",78,0,<InstanceType-Method>
1148,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotPlayer<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",65,0,<InstanceType-Method>
1202,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewThread<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",32,0,<InstanceType-Method>
1831,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#double<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",9,0,<InstanceType-Class>
1832,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#void<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",8,0,<InstanceType-Class>
1838,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#boolean<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",19,0,<InstanceType-Class>
1844,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoConstants<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",6,0,<InstanceType-Class>
1849,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoBotConstants<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",11,0,<InstanceType-Class>
1867,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#int<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",13,0,<InstanceType-Class>
1878,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#long<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",7,0,<InstanceType-Class>
1880,ApoBot,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-primitive#float<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods->exists(m | not m.name.contains('get') and not m.name.contains('set')),contextType=<InstanceType-Class>]]","CR6 (Data Class) - A class contains only crude methods",15,0,<InstanceType-Class>
1909,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioPlayer<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",426,0,<InstanceType-Class>
1930,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioConstants<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",10,0,<InstanceType-Class>
1938,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioAchievements<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",1557,0,<InstanceType-Class>
1947,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioLevel<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.fields.size() <= 20,contextType=<InstanceType-Class>]]","CR1 (Large Class) - A class has many fields",8,0,<InstanceType-Class>
1969,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioPlayer<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",41,0,<InstanceType-Class>
1973,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioModel<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
1976,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioMyLevels<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",9,0,<InstanceType-Class>
1988,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioGameComponent<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",8,0,<InstanceType-Class>
1992,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioRandomLevel<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",10,0,<InstanceType-Class>
2015,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewTextfield<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",28,0,<InstanceType-Class>
2018,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioPanel<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",41,0,<InstanceType-Class>
2021,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioEntity<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
2022,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioEnemy<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",50,0,<InstanceType-Class>
2034,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioLevel<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",42,0,<InstanceType-Class>
2038,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoScreen<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",8,0,<InstanceType-Class>
2045,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioWall<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
2052,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoEntity<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
2055,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoAnimation<InstanceType-Class>,type=ConsistencyRuleType{WS2}[rule=self.methods.size() <= 20,contextType=<InstanceType-Class>]]","CR2 (Large Class) - A class has many methods",7,0,<InstanceType-Class>
2081,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeEightLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",266,0,<InstanceType-Method>
2346,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoSplashScreen<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",7,0,<InstanceType-Method>
2442,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getBackgroundImageWithRect<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",234,0,<InstanceType-Method>
2519,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeSixLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",186,0,<InstanceType-Method>
2521,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getBackgroundImageWithRect<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",327,0,<InstanceType-Method>
2537,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-init<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",205,0,<InstanceType-Method>
2540,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getStatsImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",6,0,<InstanceType-Method>
2593,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeNineLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",9,0,<InstanceType-Method>
2616,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeElevenLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",5,0,<InstanceType-Method>
2807,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",301,0,<InstanceType-Method>
2894,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeTwelveLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",258,0,<InstanceType-Method>
2934,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-process<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.statements.size() <= 20,contextType=<InstanceType-Method>]]","CR3 (Long Methods) - A method contains too many lines of code.",8,0,<InstanceType-Method>
3027,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioShell<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",49,0,<InstanceType-Method>
3043,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioWall<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",30,0,<InstanceType-Method>
3058,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeWall<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",44,0,<InstanceType-Method>
3094,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getCircleCuts<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",47,0,<InstanceType-Method>
3116,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",45,0,<InstanceType-Method>
3129,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioPlayer<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",52,0,<InstanceType-Method>
3160,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",40,0,<InstanceType-Method>
3166,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioWall<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",37,0,<InstanceType-Method>
3200,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoMarioCoinParticle<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",29,0,<InstanceType-Method>
3217,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeImmortal<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",29,0,<InstanceType-Method>
3238,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-rectangleIntersects<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",51,0,<InstanceType-Method>
3261,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonWithImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",41,0,<InstanceType-Method>
3287,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",36,0,<InstanceType-Method>
3326,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-ApoNewTextfield<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",22,0,<InstanceType-Method>
3365,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-makeLevel<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",45,0,<InstanceType-Method>
3380,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-getButtonImage<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",41,0,<InstanceType-Method>
3381,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-drawString<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",28,0,<InstanceType-Method>
3387,ApoCommando,"ConsistencyRule{WS2}[isConsistent=false,context=Instance-rectangleContains<InstanceType-Method>,type=ConsistencyRuleType{WS2}[rule=self.arguments.size() <= 4,contextType=<InstanceType-Method>]]","CR4 (Long Parameter List) - A method contains too many parameters.",71,0,<InstanceType-Method>
